0,GIC_score
A1BG,0.550350074641
A1CF,0.790738651382
A2M,0.453832528257
A2ML1,0.460865137346
A3GALT2,0.6285581427970001
A4GALT,0.395188404569
A4GNT,0.32662398645
AAAS,0.361547671016
AACS,0.462353470222
AADAC,0.285609350381
AADACL2,0.328733468844
AADACL3,0.379000808949
AADACL4,0.34174596115500006
AADAT,0.404817320396
AAGAB,0.42451126320200006
AAMDC,0.33889504710600005
AAMP,0.449465131756
AANAT,0.37658889092200004
AAR2,0.425022382919
AARD,0.437332204386
AARS1,0.527360308179
AARS2,0.516997131547
AARSD1,0.235794661662
AASDH,0.38605185933799996
AASDHPPT,0.50020373024
AASS,0.575416208837
AATF,0.518296820261
AATK,0.721038525472
ABAT,0.5320551511580001
ABCA1,0.794409562651
ABCA10,0.562162548003
ABCA12,0.7490125004260001
ABCA13,0.948927297728
ABCA2,0.8213133419349999
ABCA3,0.697734087062
ABCA4,0.696948731868
ABCA5,0.742260997238
ABCA6,0.47889458873499996
ABCA7,0.720713327383
ABCA8,0.574754548049
ABCA9,0.559661023956
ABCB1,0.491625151159
ABCB10,0.505989466822
ABCB11,0.45136684943899996
ABCB4,0.46316602809600005
ABCB5,0.6063025620170001
ABCB6,0.48382223907099997
ABCB7,0.433549709384
ABCB8,0.527559623649
ABCB9,0.435258779973
ABCC1,0.676218740334
ABCC10,0.5332047982029999
ABCC11,0.475626822626
ABCC12,0.483733765848
ABCC2,0.5816395569080001
ABCC3,0.5183517127530001
ABCC4,0.547044100208
ABCC5,0.6142597170840001
ABCC6,0.572496219522
ABCC8,0.644189939692
ABCC9,0.692917342964
ABCD1,0.5620139269600001
ABCD2,0.578612330841
ABCD3,0.531921636638
ABCD4,0.44136007015
ABCE1,0.604513792312
ABCF1,0.483220454437
ABCF2,0.459644224437
ABCF2-H2BE1,0.389436144124
ABCF3,0.530973566779
ABCG1,0.610724342668
ABCG2,0.432499722641
ABCG4,0.423745652624
ABCG5,0.355955150241
ABCG8,0.37937093255000004
ABHD1,0.33051491313299997
ABHD10,0.4458029293
ABHD11,0.545834540994
ABHD12,0.503693615235
ABHD12B,0.402949945677
ABHD13,0.5478954682230001
ABHD14A,0.33889351358900005
ABHD14B,0.40029862501999997
ABHD15,0.544078116724
ABHD16A,0.353973760202
ABHD16B,0.510190503945
ABHD17A,0.7016049767479999
ABHD17B,0.522648282403
ABHD17C,0.6286690183560001
ABHD18,0.401607307077
ABHD2,0.740362989701
ABHD3,0.463076054352
ABHD4,0.35204486214100006
ABHD5,0.6288813374459999
ABHD6,0.40778429785
ABHD8,0.5753021494
ABI1,0.506921805508
ABI2,0.6925062352779999
ABI3,0.412354824749
ABI3BP,0.439381672961
ABITRAM,0.37385705185999996
ABL1,0.623028284396
ABL2,0.860366268594
ABLIM1,0.68727264191
ABLIM2,0.682530548238
ABLIM3,0.571083573499
ABO,0.542986946058
ABR,0.676508957185
ABRA,0.349351198697
ABRACL,0.459071691642
ABRAXAS1,0.40368983740500003
ABRAXAS2,0.411953262571
ABT1,0.343178863666
ABTB1,0.5910876931369999
ABTB2,0.6252938451919999
ACAA1,0.39320672334600004
ACAA2,0.36508859003399996
ACACA,0.809859784063
ACACB,0.82552054242
ACAD10,0.559817419454
ACAD11,0.47126873273500003
ACAD8,0.379031391247
ACAD9,0.414485027204
ACADL,0.48017416750299996
ACADM,0.502400133168
ACADS,0.375653238943
ACADSB,0.520118871879
ACADVL,0.427776831677
ACAN,0.7247620623209999
ACAP1,0.40349106174599997
ACAP2,0.678653403159
ACAP3,0.6448161644229999
ACAT1,0.34397737086499997
ACAT2,0.271872070541
ACBD3,0.447948559653
ACBD4,0.571710106073
ACBD5,0.503080103734
ACBD6,0.495241143203
ACBD7,0.397966000276
ACCS,0.400277604397
ACCSL,0.326980060374
ACD,0.424886762767
ACE,0.5943216536429999
ACE2,0.348563669758
ACER1,0.284650853353
ACER2,0.366655955468
ACER3,0.586933395476
ACHE,0.5919435687510001
ACIN1,0.631651767437
ACKR1,0.276974125827
ACKR2,0.3721609643
ACKR3,0.42848746082199995
ACKR4,0.36123112441699995
ACLY,0.588517710017
ACMSD,0.321766433627
ACO1,0.460895981991
ACO2,0.337479938729
ACOD1,0.280681864795
ACOT1,0.48941150148900003
ACOT11,0.480544008369
ACOT12,0.34308795677799997
ACOT13,0.525377315048
ACOT2,0.492930610241
ACOT4,0.510108780467
ACOT6,0.211175054153
ACOT7,0.601814366936
ACOT8,0.44844285981299997
ACOT9,0.450320353947
ACOX1,0.683917117949
ACOX2,0.347292717029
